Date,Service,Revenue,RoomsSold,GuestSatisfaction
2024-10-21,Hotel Rooms,19798.68,62,8.7
2024-10-21,Spa & Wellness,5110.34,,9.3
2024-10-21,Restaurant,5851.42,,9.3
2024-10-21,Tours & Activities,4431.55,,8.5
2024-10-21,Events & Weddings,0.0,,
2024-10-22,Hotel Rooms,7304.96,23,9.1
2024-10-22,Spa & Wellness,4607.94,,8.5
2024-10-22,Restaurant,6134.82,,9.3
2024-10-22,Tours & Activities,1507.53,,9.1
2024-10-22,Events & Weddings,0.0,,
2024-10-23,Hotel Rooms,17216.01,54,9.6
2024-10-23,Spa & Wellness,1950.22,,8.2
2024-10-23,Restaurant,3833.03,,9.1
2024-10-23,Tours & Activities,4463.57,,8.8
2024-10-23,Events & Weddings,0.0,,
2024-10-24,Hotel Rooms,15375.79,48,9.1
2024-10-24,Spa & Wellness,1914.08,,9.3
2024-10-24,Restaurant,7030.74,,9.0
2024-10-24,Tours & Activities,1332.75,,9.6
2024-10-24,Events & Weddings,0.0,,
2024-10-25,Hotel Rooms,13718.45,43,8.7
2024-10-25,Spa & Wellness,5038.31,,8.7
2024-10-25,Restaurant,8291.25,,9.4
2024-10-25,Tours & Activities,1504.16,,9.5
2024-10-25,Events & Weddings,28745.73,,8.8
2024-10-26,Hotel Rooms,18872.06,59,9.6
2024-10-26,Spa & Wellness,3415.6,,9.3
2024-10-26,Restaurant,6108.56,,8.9
2024-10-26,Tours & Activities,2960.68,,9.2
2024-10-26,Events & Weddings,31949.78,,8.3
2024-10-27,Hotel Rooms,18107.33,57,8.5
2024-10-27,Spa & Wellness,4029.25,,9.1
2024-10-27,Restaurant,4231.2,,8.2
2024-10-27,Tours & Activities,4062.56,,8.5
2024-10-27,Events & Weddings,16287.45,,9.4
2024-10-28,Hotel Rooms,15526.93,49,8.6
2024-10-28,Spa & Wellness,1379.18,,9.5
2024-10-28,Restaurant,2488.54,,9.2
2024-10-28,Tours & Activities,2707.28,,9.3
2024-10-28,Events & Weddings,0.0,,
2024-10-29,Hotel Rooms,12518.75,39,9.3
2024-10-29,Spa & Wellness,1862.5,,8.5
2024-10-29,Restaurant,6089.22,,8.6
2024-10-29,Tours & Activities,3055.02,,8.9
2024-10-29,Events & Weddings,0.0,,
2024-10-30,Hotel Rooms,16166.88,51,8.7
2024-10-30,Spa & Wellness,5417.64,,8.6
2024-10-30,Restaurant,3473.34,,8.4
2024-10-30,Tours & Activities,1600.27,,8.4
2024-10-30,Events & Weddings,12873.3,,8.5
2024-10-31,Hotel Rooms,12424.04,39,9.2
2024-10-31,Spa & Wellness,7013.62,,8.9
2024-10-31,Restaurant,3661.01,,8.3
2024-10-31,Tours & Activities,1606.0,,8.5
2024-10-31,Events & Weddings,0.0,,
2024-11-01,Hotel Rooms,15503.0,48,8.6
2024-11-01,Spa & Wellness,8260.16,,9.0
2024-11-01,Restaurant,7224.74,,8.4
2024-11-01,Tours & Activities,4871.09,,8.9
2024-11-01,Events & Weddings,0.0,,
2024-11-02,Hotel Rooms,14410.6,45,8.8
2024-11-02,Spa & Wellness,2825.91,,8.3
2024-11-02,Restaurant,8932.5,,8.9
2024-11-02,Tours & Activities,4666.56,,8.8
2024-11-02,Events & Weddings,0.0,,
2024-11-03,Hotel Rooms,6266.61,20,8.4
2024-11-03,Spa & Wellness,4601.35,,8.6
2024-11-03,Restaurant,7883.87,,8.4
2024-11-03,Tours & Activities,3739.02,,9.0
2024-11-03,Events & Weddings,0.0,,
2024-11-04,Hotel Rooms,12972.79,41,8.8
2024-11-04,Spa & Wellness,3901.06,,9.4
2024-11-04,Restaurant,7860.79,,8.6
2024-11-04,Tours & Activities,3202.64,,9.1
2024-11-04,Events & Weddings,13371.33,,8.5
2024-11-05,Hotel Rooms,14944.12,47,8.4
2024-11-05,Spa & Wellness,2333.33,,8.3
2024-11-05,Restaurant,1995.89,,8.8
2024-11-05,Tours & Activities,3100.85,,8.6
2024-11-05,Events & Weddings,24265.73,,8.8
2024-11-06,Hotel Rooms,15329.6,48,9.5
2024-11-06,Spa & Wellness,5913.04,,9.1
2024-11-06,Restaurant,5907.43,,9.5
2024-11-06,Tours & Activities,2470.02,,9.0
2024-11-06,Events & Weddings,26985.89,,8.3
2024-11-07,Hotel Rooms,7872.7,25,8.6
2024-11-07,Spa & Wellness,5686.42,,9.0
2024-11-07,Restaurant,3694.35,,8.4
2024-11-07,Tours & Activities,3455.66,,9.2
2024-11-07,Events & Weddings,0.0,,
2024-11-08,Hotel Rooms,14822.3,46,8.3
2024-11-08,Spa & Wellness,1831.82,,8.8
2024-11-08,Restaurant,4595.62,,8.6
2024-11-08,Tours & Activities,1441.44,,9.5
2024-11-08,Events & Weddings,0.0,,
2024-11-09,Hotel Rooms,22533.57,70,9.6
2024-11-09,Spa & Wellness,6182.49,,8.6
2024-11-09,Restaurant,2618.39,,9.3
2024-11-09,Tours & Activities,3114.81,,9.1
2024-11-09,Events & Weddings,0.0,,
2024-11-10,Hotel Rooms,13870.21,43,9.1
2024-11-10,Spa & Wellness,4186.76,,8.3
2024-11-10,Restaurant,4046.89,,8.7
2024-11-10,Tours & Activities,3386.3,,9.4
2024-11-10,Events & Weddings,0.0,,
2024-11-11,Hotel Rooms,9621.51,30,9.5
2024-11-11,Spa & Wellness,6063.09,,9.0
2024-11-11,Restaurant,4681.67,,8.6
2024-11-11,Tours & Activities,2089.04,,9.6
2024-11-11,Events & Weddings,0.0,,
2024-11-12,Hotel Rooms,19630.1,61,9.1
2024-11-12,Spa & Wellness,4483.32,,8.8
2024-11-12,Restaurant,3094.24,,8.7
2024-11-12,Tours & Activities,3709.1,,9.1
2024-11-12,Events & Weddings,0.0,,
2024-11-13,Hotel Rooms,13353.84,42,9.5
2024-11-13,Spa & Wellness,3874.22,,9.2
2024-11-13,Restaurant,2701.27,,9.6
2024-11-13,Tours & Activities,3157.18,,8.5
2024-11-13,Events & Weddings,0.0,,
2024-11-14,Hotel Rooms,13397.2,42,8.3
2024-11-14,Spa & Wellness,7104.86,,9.5
2024-11-14,Restaurant,4721.0,,8.4
2024-11-14,Tours & Activities,3992.22,,8.9
2024-11-14,Events & Weddings,0.0,,
2024-11-15,Hotel Rooms,11103.77,35,9.4
2024-11-15,Spa & Wellness,8301.09,,8.5
2024-11-15,Restaurant,6200.33,,8.7
2024-11-15,Tours & Activities,5106.79,,8.9
2024-11-15,Events & Weddings,17555.38,,9.3
2024-11-16,Hotel Rooms,13491.74,42,9.5
2024-11-16,Spa & Wellness,5050.53,,9.3
2024-11-16,Restaurant,4318.88,,8.6
2024-11-16,Tours & Activities,3628.67,,9.6
2024-11-16,Events & Weddings,0.0,,
2024-11-17,Hotel Rooms,13201.7,41,8.7
2024-11-17,Spa & Wellness,4537.68,,9.0
2024-11-17,Restaurant,4684.75,,8.7
2024-11-17,Tours & Activities,1585.56,,9.2
2024-11-17,Events & Weddings,0.0,,
2024-11-18,Hotel Rooms,16590.29,52,8.3
2024-11-18,Spa & Wellness,5661.63,,9.2
2024-11-18,Restaurant,6799.77,,8.7
2024-11-18,Tours & Activities,3362.2,,9.3
2024-11-18,Events & Weddings,0.0,,
2024-11-19,Hotel Rooms,6029.38,19,8.9
2024-11-19,Spa & Wellness,4760.75,,9.4
2024-11-19,Restaurant,7172.69,,8.8
2024-11-19,Tours & Activities,2847.06,,8.8
2024-11-19,Events & Weddings,0.0,,
2024-11-20,Hotel Rooms,14863.37,46,8.4
2024-11-20,Spa & Wellness,4057.13,,9.6
2024-11-20,Restaurant,3991.05,,9.2
2024-11-20,Tours & Activities,3310.39,,9.4
2024-11-20,Events & Weddings,17160.21,,8.6
2024-11-21,Hotel Rooms,15777.66,49,9.3
2024-11-21,Spa & Wellness,6405.99,,8.3
2024-11-21,Restaurant,2386.42,,9.1
2024-11-21,Tours & Activities,4324.27,,9.6
2024-11-21,Events & Weddings,0.0,,
2024-11-22,Hotel Rooms,8151.13,25,9.1
2024-11-22,Spa & Wellness,7560.42,,8.8
2024-11-22,Restaurant,7200.79,,9.5
2024-11-22,Tours & Activities,1241.37,,9.3
2024-11-22,Events & Weddings,0.0,,
2024-11-23,Hotel Rooms,8946.34,28,8.9
2024-11-23,Spa & Wellness,5450.85,,9.3
2024-11-23,Restaurant,3527.85,,8.3
2024-11-23,Tours & Activities,4881.59,,9.1
2024-11-23,Events & Weddings,14099.34,,8.8
2024-11-24,Hotel Rooms,9131.88,29,8.6
2024-11-24,Spa & Wellness,1374.79,,9.3
2024-11-24,Restaurant,7333.18,,9.1
2024-11-24,Tours & Activities,1470.83,,8.8
2024-11-24,Events & Weddings,0.0,,
2024-11-25,Hotel Rooms,14636.82,46,8.8
2024-11-25,Spa & Wellness,2778.07,,9.4
2024-11-25,Restaurant,3163.35,,8.7
2024-11-25,Tours & Activities,2687.2,,8.5
2024-11-25,Events & Weddings,0.0,,
2024-11-26,Hotel Rooms,19695.5,62,8.6
2024-11-26,Spa & Wellness,7021.42,,9.1
2024-11-26,Restaurant,3610.41,,9.0
2024-11-26,Tours & Activities,3444.89,,9.2
2024-11-26,Events & Weddings,0.0,,
2024-11-27,Hotel Rooms,12603.2,39,9.5
2024-11-27,Spa & Wellness,2988.51,,9.3
2024-11-27,Restaurant,5585.97,,8.7
2024-11-27,Tours & Activities,3260.95,,9.1
2024-11-27,Events & Weddings,23301.99,,9.4
2024-11-28,Hotel Rooms,14483.95,45,9.5
2024-11-28,Spa & Wellness,5088.17,,8.6
2024-11-28,Restaurant,4598.49,,9.0
2024-11-28,Tours & Activities,3619.03,,8.3
2024-11-28,Events & Weddings,12664.08,,8.4
2024-11-29,Hotel Rooms,15591.97,49,9.6
2024-11-29,Spa & Wellness,5209.55,,9.5
2024-11-29,Restaurant,8157.35,,8.6
2024-11-29,Tours & Activities,4677.92,,8.9
2024-11-29,Events & Weddings,19177.05,,8.4
2024-11-30,Hotel Rooms,22737.86,71,8.4
2024-11-30,Spa & Wellness,8206.54,,9.4
2024-11-30,Restaurant,7412.58,,9.6
2024-11-30,Tours & Activities,5307.15,,9.3
2024-11-30,Events & Weddings,10745.33,,9.0
2024-12-01,Hotel Rooms,13640.27,43,9.1
2024-12-01,Spa & Wellness,5954.26,,9.0
2024-12-01,Restaurant,7801.32,,9.5
2024-12-01,Tours & Activities,1460.47,,8.5
2024-12-01,Events & Weddings,24035.18,,9.5
2024-12-02,Hotel Rooms,9847.22,31,8.3
2024-12-02,Spa & Wellness,6958.04,,9.5
2024-12-02,Restaurant,4289.78,,8.8
2024-12-02,Tours & Activities,1594.05,,9.5
2024-12-02,Events & Weddings,0.0,,
2024-12-03,Hotel Rooms,7829.37,24,9.4
2024-12-03,Spa & Wellness,2398.77,,8.8
2024-12-03,Restaurant,6775.78,,9.2
2024-12-03,Tours & Activities,5020.39,,8.8
2024-12-03,Events & Weddings,0.0,,
2024-12-04,Hotel Rooms,12991.87,41,8.3
2024-12-04,Spa & Wellness,4741.92,,8.8
2024-12-04,Restaurant,8672.77,,8.2
2024-12-04,Tours & Activities,2574.75,,8.8
2024-12-04,Events & Weddings,12483.87,,9.2
2024-12-05,Hotel Rooms,15097.57,47,9.6
2024-12-05,Spa & Wellness,3876.21,,8.8
2024-12-05,Restaurant,3531.21,,8.4
2024-12-05,Tours & Activities,4604.14,,8.8
2024-12-05,Events & Weddings,0.0,,
2024-12-06,Hotel Rooms,18825.27,59,8.2
2024-12-06,Spa & Wellness,7920.77,,8.5
2024-12-06,Restaurant,3657.98,,9.0
2024-12-06,Tours & Activities,1524.08,,9.3
2024-12-06,Events & Weddings,0.0,,
2024-12-07,Hotel Rooms,24051.41,75,8.7
2024-12-07,Spa & Wellness,2923.5,,9.5
2024-12-07,Restaurant,2677.59,,9.4
2024-12-07,Tours & Activities,1905.61,,8.4
2024-12-07,Events & Weddings,0.0,,
2024-12-08,Hotel Rooms,16992.19,53,8.2
2024-12-08,Spa & Wellness,1598.45,,9.3
2024-12-08,Restaurant,3856.04,,8.7
2024-12-08,Tours & Activities,1740.55,,8.3
2024-12-08,Events & Weddings,0.0,,
2024-12-09,Hotel Rooms,18367.06,57,8.9
2024-12-09,Spa & Wellness,6654.36,,8.9
2024-12-09,Restaurant,2986.11,,8.9
2024-12-09,Tours & Activities,5018.02,,8.3
2024-12-09,Events & Weddings,23036.28,,8.8
2024-12-10,Hotel Rooms,21915.43,68,8.3
2024-12-10,Spa & Wellness,4673.26,,8.8
2024-12-10,Restaurant,6881.16,,8.9
2024-12-10,Tours & Activities,4866.23,,8.3
2024-12-10,Events & Weddings,0.0,,
2024-12-11,Hotel Rooms,7317.34,23,8.6
2024-12-11,Spa & Wellness,5694.13,,9.0
2024-12-11,Restaurant,4445.0,,9.6
2024-12-11,Tours & Activities,3254.87,,8.8
2024-12-11,Events & Weddings,0.0,,
2024-12-12,Hotel Rooms,17653.92,55,9.4
2024-12-12,Spa & Wellness,5812.32,,9.3
2024-12-12,Restaurant,7115.67,,8.5
2024-12-12,Tours & Activities,2919.11,,8.5
2024-12-12,Events & Weddings,0.0,,
2024-12-13,Hotel Rooms,15351.6,48,8.3
2024-12-13,Spa & Wellness,5106.23,,9.1
2024-12-13,Restaurant,5636.31,,8.4
2024-12-13,Tours & Activities,5808.77,,8.3
2024-12-13,Events & Weddings,0.0,,
2024-12-14,Hotel Rooms,9226.62,29,9.2
2024-12-14,Spa & Wellness,8116.01,,9.0
2024-12-14,Restaurant,7326.19,,9.0
2024-12-14,Tours & Activities,2833.17,,8.4
2024-12-14,Events & Weddings,0.0,,
2024-12-15,Hotel Rooms,18442.12,58,9.4
2024-12-15,Spa & Wellness,6277.03,,9.6
2024-12-15,Restaurant,6302.77,,8.7
2024-12-15,Tours & Activities,3456.15,,8.5
2024-12-15,Events & Weddings,0.0,,
2024-12-16,Hotel Rooms,8008.55,25,9.4
2024-12-16,Spa & Wellness,3935.09,,9.3
2024-12-16,Restaurant,6125.18,,9.3
2024-12-16,Tours & Activities,4591.91,,9.6
2024-12-16,Events & Weddings,0.0,,
2024-12-17,Hotel Rooms,16693.86,52,8.2
2024-12-17,Spa & Wellness,7655.18,,9.4
2024-12-17,Restaurant,4055.27,,8.5
2024-12-17,Tours & Activities,3986.47,,8.6
2024-12-17,Events & Weddings,0.0,,
2024-12-18,Hotel Rooms,20385.27,64,9.0
2024-12-18,Spa & Wellness,4155.2,,8.4
2024-12-18,Restaurant,6523.91,,8.2
2024-12-18,Tours & Activities,4170.97,,8.5
2024-12-18,Events & Weddings,0.0,,
2024-12-19,Hotel Rooms,12263.36,38,9.2
2024-12-19,Spa & Wellness,6646.54,,9.0
2024-12-19,Restaurant,2823.46,,8.3
2024-12-19,Tours & Activities,1668.99,,9.1
2024-12-19,Events & Weddings,0.0,,
2024-12-20,Hotel Rooms,20067.67,63,8.9
2024-12-20,Spa & Wellness,5225.68,,8.6
2024-12-20,Restaurant,8668.12,,8.4
2024-12-20,Tours & Activities,3336.02,,8.6
2024-12-20,Events & Weddings,0.0,,
2024-12-21,Hotel Rooms,20167.27,63,8.3
2024-12-21,Spa & Wellness,4859.97,,9.0
2024-12-21,Restaurant,2716.23,,8.6
2024-12-21,Tours & Activities,2239.34,,8.4
2024-12-21,Events & Weddings,0.0,,
2024-12-22,Hotel Rooms,6375.61,20,9.2
2024-12-22,Spa & Wellness,2663.98,,8.7
2024-12-22,Restaurant,6999.78,,8.9
2024-12-22,Tours & Activities,4541.76,,9.3
2024-12-22,Events & Weddings,11057.56,,8.2
2024-12-23,Hotel Rooms,21218.89,66,9.4
